20250120;г.Ульяновск,ул.Радищева,68;3;Простокваша СЕЛО ЗЕЛЕНОЕ Термостатная 4% 200г п/ст;1;74,99
20250117;г.Ульяновск,ул.Радищева,68;1;Яйцо куриное С1 фас. 10шт;1;104,99
20250117;г.Ульяновск,ул.Радищева,68;2;Вода минеральная УЛЬЯНКА газированная 1.5л пэт;1;35,99
20250117;г.Ульяновск,ул.Радищева,68;3;Простокваша СЕЛО ЗЕЛЕНОЕ Термостатная 4% 200г п/ст;1;74,99
20250117;г.Ульяновск,ул.Радищева,68;4;Простокваша СЕЛО ЗЕЛЕНОЕ Термостатная 4% 200г п/ст;1;74,99
20250117;г.Ульяновск,ул.Радищева,68;5;Простокваша СЕЛО ЗЕЛЕНОЕ Термостатная 4% 200г п/ст;1;74,99
20250117;г.Ульяновск,ул.Радищева,68;6;Водка СЛАВЯНСКАЯ Мягкая На березовых почках 40% 0.25л;1;174,99
20250117;г.Ульяновск,ул.Радищева,68;7;Сыр ЯСЬ БЕЛОУС Голландский 45% 200г;1;169,99
20250116;г.Ульяновск,ул.Радищева,68;1;Булочки РАДОНЕЖ Отрубные 300г;1;89,99
20250116;г.Ульяновск,ул.Радищева,68;2;Водка СЛАВЯНСКАЯ Мягкая На березовых почках 40% 0.25л;1;174,99
20250116;г.Ульяновск,ул.Радищева,68;3;Томатная паста КАДУШКА ГОСТ 260г с/б;1;74,99
20250116;г.Ульяновск,ул.Орлова,18;1;Сельдерей стеблевой;0,548;109,58
20250116;г.Ульяновск,ул.Орлова,18;2;Тушка ЦБ охл AN-NOOR Халяль 1сорт пакет;2,195;507,03
20250115;г.Ульяновск,ул.Орлова,18;1;Сыр ЛАМБЕР 50% вес;1,11;1282,04
20250115;г.Ульяновск,ул.Орлова,18;2;Вода минеральная УЛЬЯНКА газированная 1.5л пэт;1;30,99
20250114;г.Ульяновск,ул.Радищева,68;1;Салат листовой в горшочке;1;79,99
20250114;г.Ульяновск,ул.Радищева,68;2;Напиток газированный ЧЕРНОГОЛОВКА Байкал 2л;1;119,99
20250114;г.Ульяновск,ул.Радищева,68;3;Молоко ВКУСНОТЕЕВО 3.2% 900г л/п;1;94,99
20250114;г.Ульяновск,ул.Радищева,68;4;Булочки РАДОНЕЖ Отрубные 300г;1;89,99
20250114;г.Ульяновск,ул.Радищева,68;5;Простокваша СЕЛО ЗЕЛЕНОЕ Термостатная 4% 200г п/ст;1;74,99
